household_email	appliance_number	manufacturer_name	model	appliance_type	air_handler_types	eer	energy_source	hspf	seer	energy_source	capacity	temperature	btu
ccandlish@rangreen.com	3	Lombanazz	Adbanedazz	Air Handler	heater,heatpump		Electric	22.2	37.8				8230
ccastros@ron-tech.com	1	Bartumentor International	Varwerax	Air Handler	heatpump			16.4	24.3				9614
ccastros@ron-tech.com	2	Groerexower WorldWide	Hapvenin	Air Handler	air_conditioner	3.4							8575
ccastros@ron-tech.com	3	Monjubin	Addudazz	Air Handler	heatpump			24.5	44.5				10007
ccaudy@goodsilron.com	1	Adkilicator WorldWide Company	Qwijubopower	Air Handler	heater		Electric						16506
ccaudy@zathunicon.com	1	Incadan International		Air Handler	heatpump			25.0	57.9				12651
ccetta@rundofase.com	1	Adcadimin International	Gromunegicator	Air Handler	heater,heatpump		Gas	22.5	44.2				6105
ccetta@rundofase.com	2	Tiptinar Inc	Partumedgentor	Air Handler	air_conditioner	1.7							3476
ccetta@rundofase.com	3	Suphupegover WorldWide		Air Handler	heatpump			25.7	54.2				3464
ccetta@rundofase.com	4	Insipador Direct	Montumegex	Air Handler	heater		Electric						3450
ccetta@rundofase.com	5	Suppebazz		Air Handler	heatpump,air_conditioner	1.4		23.8	32.7				6841
ccetta@rundofase.com	6	Frofropopicator Direct	Doptumadower	Air Handler	air_conditioner,heater,heatpump	10.7	Electric	20.6	35.5				7687
cchaffins@ganjaflex.com	1	Tipweranor	Supdimollan	Air Handler	air_conditioner	0.8							3950
cchickering@plexzap.com	1	Zeesipar	Kliwerpplover	Air Handler	air_conditioner	4.6							7537
cchickering@plexzap.com	2	Thruquestegazz Company	Lomdimax	Air Handler	heater		Electric						6614
cchickering@plexzap.com	3	Barquestan Inc	Upvenazz	Water Heater						Electric	89.9	108	6178
cchickering@rantouch.com	1	Winhupex Holdings Company	Monsapower	Air Handler	air_conditioner	6.2							9762
cchickering@rantouch.com	2	Barcadantor Direct	Unjubicator	Air Handler	air_conditioner	4.3							12140
cchickering@rantouch.com	3	Dopquestimentor Direct	Rapwerpicicator	Water Heater						Gas	18.9	171	7832
cchui@ganjaflex.com	1	Unrobexower Corp.	Upsapor	Air Handler	air_conditioner,heater	5.0	Electric						10437
cchui@ganjaflex.com	2	Barsipicator WorldWide	Hapmunewower	Air Handler	heater		Electric						8026
cchui@ganjaflex.com	3	Surrobin Inc	Thrumunegor	Air Handler	heater		Gas						5772
cchui@scotfind.com	1	Refropackentor Direct Company	Rekilicin	Air Handler	heater,heatpump		Gas	25.7	60.8				9530
cclaucherty@singletechno.com	1	Parsapax WorldWide	Upvenewover	Air Handler	heatpump			27.5	46.8				7171
cclaucherty@singletechno.com	2	Endsipazz Corp.	Zeenipover	Water Heater						Electric	38.6	101	6577
cclaucherty@singletechno.com	3	Tupvenin Direct Inc	Endvenefower	Water Heater						Heat Pump	14.9		8038
ccolaizzo@scotfind.com	1	Qwicadplentor Holdings		Air Handler	heater		Electric						7993
ccolaizzo@scotfind.com	2	Fromunommower Holdings Group	Truvenaquicator	Air Handler	heatpump			31.0	47.2				7829
ccolaizzo@scotfind.com	3	Fromunar WorldWide Group	Rapsipegan	Air Handler	air_conditioner	2.1							6817
ccolaizzo@scotfind.com	4	Emwerpicator Inc		Air Handler	air_conditioner	1.8							6805
ccolaizzo@warephase.com	1	Unwerpimazz Direct	Supcadedex	Air Handler	air_conditioner	1.4							5313
ccolaizzo@warephase.com	2	Thrufropover Group	Frosapax	Air Handler	heater		Gas						5335
ccolaizzo@warephase.com	3	Partinedin	Frokilower	Air Handler	heater		Electric						4179
ccolaizzo@warephase.com	4	Montanilax International Corp.	Thrurobollistor	Air Handler	air_conditioner,heater	9.0	Electric						6622
ccoody@singletechno.com	1	Tuprobollicator WorldWide	Supbanopor	Air Handler	heater		Electric						8663
ccoody@singletechno.com	2	Qwidudax Company	Qwidudefazz	Air Handler	heatpump			17.9	52.5				7729
ccoody@singletechno.com	3	Upbanollar	Inzapazz	Air Handler	heater,air_conditioner	3.4	Fuel Oil						19070
ccookey@treequote.com	1	Qwiwerpistor WorldWide	Thruhupefex	Air Handler	heatpump			21.8	48.1				11985
ccorrio@zathunicon.com	1	Endmunicator		Water Heater						Gas	27.6	204	7219
ccorrio@zathunicon.com	2	Unsipedgex WorldWide Corp.		Water Heater						Gas	14.6	152	6892
ccorrio@zathunicon.com	3	Barwerackazz WorldWide Group	Resapazz	Air Handler	heater		Gas						5767
ccorrio@zathunicon.com	4	Parpebefex	Advenilantor	Air Handler	heater,heatpump		Electric	21.5	36.5				8993
ccorrio@zathunicon.com	5	Suptumax Holdings	Qwiwerpin	Air Handler	heater,heatpump		Electric	20.6	41.1				10123
ccorrio@zathunicon.com	6	Inquestaquover WorldWide	Rapquestommazz	Air Handler	heater		Electric						4227
ccoyier@lexiqvolax.com	1	Parcadimower Group		Air Handler	heatpump			32.2	58.5				6498
ccoyier@lexiqvolax.com	2	Qwitumegentor Direct Inc	Hapzapadan	Air Handler	heater		Electric						6853
ccoyier@lexiqvolax.com	3	Suprobepan Inc	Surjubedgax	Water Heater						Electric	11.0	217	6183
ccoyier@lexiqvolax.com	4	Insipexicator WorldWide Corp.		Air Handler	heater		Electric						7034
ccoyier@plexzap.com	1	Cipsipentor WorldWide	Endwerpazz	Water Heater						Thermosolar	75.6	118	5301
ccoyier@plexzap.com	2	Bartumplentor	Qwiwerpamar	Air Handler	heater		Electric						6102
ccoyier@plexzap.com	3	Varerantor Direct	Frowerpantor	Water Heater						Gas	33.7		3729
ccoyier@plexzap.com	4	Thrufropover Group	Dopsipefex	Air Handler	air_conditioner	1.6							6094
ccoyier@plexzap.com	5	Winjubentor Direct Group	Moncadamazz	Air Handler	heater		Electric						3902
ccoyier@plexzap.com	6	Cipweraquentor	Qwieropover	Water Heater						Electric	31.9	92	5348
ccoyier@plexzap.com	7	Varjubower Corp.	Lomvenor	Air Handler	heater		Gas						4925
ccrupi@golddex.com	1	Hapquestover Direct		Air Handler	heater		Electric						4054
ccrupi@golddex.com	2	Rapsipupor International Company	Frovenedentor	Air Handler	heatpump,heater		Electric	25.7	50.1				7484
ccrupi@golddex.com	3	Thruweraquicator Holdings	Unnipopin	Water Heater						Gas	48.5	124	4158
ccrupi@golddex.com	4	Lombanedgan	Qwinipamex	Air Handler	air_conditioner,heatpump	1.7		19.1	50.3				6622
ccrupi@inity.com	1	Supbanor	Kliwerpedgan	Air Handler	heatpump			27.5	39.9				5637
ccrupi@inity.com	2	Supquestar Holdings Corp.		Water Heater						Electric	39.2	139	5007
ccrupi@inity.com	3	Rapkilantor International Group	Upbanar	Air Handler	heater,heatpump		Gas	26.5	38.1				7689
ccryer@betasoloin.com	1	Lomdimin International Company	Unvenepover	Air Handler	air_conditioner,heatpump	2.5		20.5	46.1				6346
ccryer@betasoloin.com	2	Unwerpimazz Direct	Parnipedgor	Air Handler	air_conditioner	1.4							6239
ccryer@betasoloin.com	3	Frodimamax WorldWide	Parsapimar	Air Handler	air_conditioner	4.8							4969
ccryer@betasoloin.com	4	Supbanor	Bartanantor	Water Heater						Thermosolar	85.5	117	4662
ccryer@betasoloin.com	5	Hapjubex Inc	Qwifropefor	Air Handler	heatpump			21.2	56.3				3671
ccryer@betasoloin.com	6	Winkilinan International	Barweramantor	Water Heater						Electric	16.4	109	4932
ccryer@betasoloin.com	7	Uptumicator WorldWide	Zeehupicantor	Water Heater						Gas	41.2	117	4693
cdallen@opentech.com	1	Rapkilantor International Group	Qwirobicistor	Air Handler	heater		Gas						1649
cdallen@opentech.com	2	Cipvenistor Group	Inwerax	Water Heater						Electric	18.7	131	1243
cdallen@opentech.com	3	Trutumefentor International	Endpickicator	Air Handler	heatpump			26.0	48.2				1694
cdallen@opentech.com	4	Cipweraquentor	Dopglibor	Water Heater						Gas	37.7	215	2158
cdallen@opentech.com	5	Monkilower Direct	Supfropopentor	Air Handler	heatpump,heater,air_conditioner	1.1	Electric	25.6	37.8				2295
cdallen@opentech.com	6	Adwericower Direct Inc	Varmunilentor	Water Heater						Electric	38.0	163	1134
cdallen@opentech.com	7	Monkilower Direct	Suprobor	Air Handler	air_conditioner	0.4							1401
cdallen@scotfind.com	1	Lomdudicator International	Surtumazz	Water Heater						Electric	29.3		5797
cdallen@scotfind.com	2	Fropebex WorldWide	Grorobazz	Air Handler	air_conditioner,heater	4.4	Electric						11464
cdallen@scotfind.com	3	Hapjubex Inc	Endtanefover	Air Handler	air_conditioner	3.8							7602
cdallen@singletechno.com	1	Rapvenor WorldWide Group	Lompebamistor	Air Handler	heatpump			17.2	53.5				5404
cdallen@singletechno.com	2	Cipsapex	Klihupantor	Water Heater						Gas	15.6		5066
cdallen@singletechno.com	3	Lomtumador WorldWide Inc	Klijubinax	Air Handler	heater,heatpump		Fuel Oil	26.3	57.2				7059
cdallen@singletechno.com	4	Zeedimantor International	Undudin	Air Handler	air_conditioner	1.1							3242
cdallen@singletechno.com	5	Qwiwerpistor WorldWide	Qwinipefantor	Air Handler	air_conditioner,heater	2.4	Fuel Oil						8630
cdallen@singletechno.com	6	Retanar	Cipsapar	Water Heater						Thermosolar	35.9		4756
cdallen@singletechno.com	7	Resapollower Holdings	Barnipinax	Air Handler	heatpump			23.8	50.7				4763
cdallen@singletechno.com	8	Qwibanonin Direct	Vardudollover	Air Handler	heatpump			20.4	49.1				4458
cdallen@singletechno.com	9	Grotinackover WorldWide	Froquestedgax	Air Handler	heatpump,air_conditioner	1.8		23.4	44.8				7552
cdaufeldt@scotfind.com	1	Reeror	Bareredgover	Water Heater						Gas	69.2	188	9204
cdaufeldt@scotfind.com	2	Tupfropazz Holdings Corp.	Upjubor	Water Heater						Electric	34.0	115	9529
cdaufeldt@scotfind.com	3	Trucadollan Inc	Tippickegentor	Air Handler	heatpump			23.5	32.6				6182
cdaufeldt@scotfind.com	4	Klidudentor Direct	Kliweredistor	Air Handler	air_conditioner	2.9							9503
cdegonia@betatech.com	1	Lomrobopower WorldWide	Endwerpicower	Air Handler	heater,heatpump		Gas	22.8	49.8				4568
cdegonia@betatech.com	2	Adsapedex WorldWide Company		Air Handler	air_conditioner	1.1							3315
cdegonia@betatech.com	3	Raphupinower	Raptumicin	Air Handler	heatpump			20.2	41.8				3223
cdegonia@zathunicon.com	1	Hapzapedan Holdings Corp.		Air Handler	heater		Electric						5801
cdegroot@faxquote.com	1	Klidudackazz Group	Truvenedover	Air Handler	air_conditioner	5.2							11459
cdegroot@faxquote.com	2	Hapzapedan Holdings Corp.	Tipfropilin	Air Handler	air_conditioner	3.2							12073
cdegroot@faxquote.com	3	Grofropedgax WorldWide	Tiperewazz	Air Handler	heater		Electric						11240
cdegroot@newex.com	1	Parfropplower WorldWide Group	Zeezapamover	Air Handler	air_conditioner,heatpump	5.7		24.9	42.9				8884
cdegroot@newex.com	2	Grosapinower Direct Group	Zeetinover	Water Heater						Gas	61.2		5333
cdegroot@newex.com	3	Truzapar Holdings Corp.	Qwiwerepin	Air Handler	heater		Fuel Oil						5748
cdegroot@newex.com	4	Frodimex Holdings	Surjubantor	Air Handler	heatpump,air_conditioner	2.8		20.8	44.4				9750
cdegroot@newex.com	5	Qwiweran	Truwerentor	Air Handler	air_conditioner	2.3							5719
cdegroot@newex.com	6	Frodimamax WorldWide	Tipjubin	Air Handler	heatpump			24.5	50.1				4442
cdegroot@newex.com	7	Monbanentor International Corp.	Parbanopax	Water Heater						Gas	68.9	183	5371
cdegroot@newex.com	8	Monpebefazz WorldWide	Uptinazz	Water Heater						Electric	89.5	148	6070
cdegroot@newex.com	9	Dopkilaquazz Group	Lomtinedgentor	Water Heater						Electric	36.2	140	5337
cdelasancha@betasoloin.com	1	Suprobower Direct Group	Varvenamicator	Air Handler	air_conditioner,heatpump	2.3		24.2	26.7				11922
cdelasancha@green-plus.com	1	Grotinackover WorldWide	Adjubover	Water Heater						Electric	15.3	184	3664
cdelasancha@green-plus.com	2	Parjubax Holdings		Air Handler	heater,air_conditioner	10.4	Gas						5655
cdelasancha@green-plus.com	3	Varbanower International	Suphupefower	Air Handler	heater		Gas						4425
cdelasancha@streethex.com	1	Zeebanefistor Inc	Vartumplover	Air Handler	heater		Gas						3977
cdelasancha@streethex.com	2	Endquestistor Direct	Supjubex	Air Handler	heater		Electric						3704
cdelasancha@streethex.com	3	Haphupentor Company	Incadamover	Air Handler	air_conditioner	0.9							4045
cdelasancha@streethex.com	4	Supfropan Holdings	Barvenopower	Air Handler	heatpump,air_conditioner,heater	2.4	Electric	20.2	47.7				7139
cdelasancha@streethex.com	5	Rapsipefar Direct Company		Air Handler	air_conditioner	1.0							3002
cdelasancha@streethex.com	6	Unquestower	Grocadepistor	Water Heater						Gas	42.8	117	4140
cdeleo@zoomit.com	1	Rehupadar Direct	Barsipaquistor	Air Handler	heatpump			16.7	64.1				5919
cdeleo@zoomit.com	2	Rapweror	Emdudexower	Air Handler	air_conditioner	2.7							5119
cdeleo@zoomit.com	3	Klivenin	Kliweramar	Air Handler	heater,heatpump		Gas	26.4	44.0				9671
cdemesa@ron-tech.com	1	Undudower WorldWide		Air Handler	heater		Electric						8244
cdemesa@ron-tech.com	2	Truglibazz Direct	Klitanar	Water Heater						Electric	33.7	109	8362
cdemesa@ron-tech.com	3	Upquestin Holdings Inc	Frokilepax	Air Handler	air_conditioner	11.7							7328
cdenooyer@bioholding.com	1	Frojubimicator WorldWide		Air Handler	air_conditioner,heater	3.8	Electric						6829
cdevreese@streethex.com	1	Happebegower	Varkililar	Air Handler	air_conditioner	1.7							10205
cdevreese@streethex.com	2	Klivenin	Dopkilamicator	Air Handler	heater		Fuel Oil						8573
cdevreese@streethex.com	3	Tupkilor International Inc	Dopdimommin	Water Heater						Heat Pump	19.9	132	6267
cdevreese@streethex.com	4	Surwerazz International	Inhupar	Water Heater						Thermosolar	73.5	102	6555
cdevreese@toughzap.com	1	Monnipistor	Parhupamar	Air Handler	air_conditioner	8.6							8054
cdevreese@toughzap.com	2	Lombanex WorldWide	Emeror	Water Heater						Electric	70.1	143	6729
cdevreese@toughzap.com	3	Cipbanower Direct Company		Air Handler	heatpump			14.9	33.9				7571
cdickerson@singletechno.com	1	Surmunamex WorldWide		Air Handler	heatpump			12.2	21.1				9019
cdickerson@singletechno.com	2	Requestonan Direct Corp.	Partumantor	Air Handler	heater,air_conditioner	3.8	Gas						12350
cdickerson@singletechno.com	3	Monrobor Direct	Cipveninan	Air Handler	heatpump			17.6	49.6				8504
cdickerson@singletechno.com	4	Tipweranor		Air Handler	air_conditioner	3.0							8539
cdickerson@singletechno.com	5	Hapfropentor International Group	Partumadax	Water Heater						Electric	52.5	138	10510
cdickerson@singletechno.com	6	Surmunamex WorldWide		Water Heater						Thermosolar	14.7	225	8748
cdickerson@singletechno.com	7	Parvenollazz WorldWide Group	Frohupazz	Water Heater						Electric	31.7	132	5808
cdickerson@singletechno.com	8	Insipollover Holdings		Water Heater						Electric	92.4		10988
cdickerson@singletechno.com	9	Klizapin	Frowerepazz	Air Handler	heatpump,air_conditioner	3.7		26.9	43.0				10299
cdickerson@singletechno.com	10	Intanepin International		Water Heater						Gas	20.9	150	8330
cdilliard@blackzim.com	1	Varwerin International Corp.	Parwerpilin	Air Handler	heater		Gas						7094
cdilliard@blackzim.com	2	Doptanonantor WorldWide		Air Handler	air_conditioner	1.5							4885
cdilliard@blackzim.com	3	Tuppickin	Rapkilover	Air Handler	air_conditioner	6.9							6622
cdilliard@blackzim.com	4	Frosipazz International Company	Tuppebopan	Air Handler	air_conditioner	1.4							6076
cdilliard@blackzim.com	5	Surjubar Company		Air Handler	heatpump			17.3	33.5				5176
cdilliard@blackzim.com	6	Winsapicator International		Air Handler	air_conditioner	1.4							7064
cdinos@donquadtech.com	1	Parkilicentor International		Air Handler	heatpump,air_conditioner	4.9		17.7	34.7				8780
cdinos@faxquote.com	1	Tipdudonan WorldWide	Haptinewover	Air Handler	air_conditioner	3.8							9398
cdinos@faxquote.com	2	Surzapar WorldWide	Tipfropopex	Air Handler	heater		Electric						9764
cdinos@faxquote.com	3	Tuppebinistor WorldWide	Lomfropan	Water Heater						Thermosolar	53.7		10020
cdinos@nam-zim.com	1	Rehupadar Direct	Thrutumax	Air Handler	air_conditioner	3.1							11011
cdiscipio@faxquote.com	1	Groquestackax Holdings Group	Remunewin	Air Handler	heatpump			15.8	59.8				5977
cdiscipio@faxquote.com	2	Surerommazz International Company	Raptanaquentor	Water Heater						Electric	37.2	112	6092
cdiscipio@faxquote.com	3	Dopjubupicator	Adweredgex	Air Handler	heatpump			21.9	69.6				5675
cdiscipio@y-corporation.com	1	Rapsipupor International Company	Cipsapanower	Air Handler	air_conditioner	2.4							5404
cdiscipio@y-corporation.com	2	Trudiminower	Frodudadan	Water Heater						Gas	46.0	167	5229
cdiscipio@y-corporation.com	3	Parhupar	Insipamicator	Water Heater						Thermosolar	14.3		4808
cdopico@isdom.com	1	Grocadan WorldWide Company	Dopjubazz	Air Handler	air_conditioner	1.4							6078
cdopico@isdom.com	2	Tiphupar WorldWide Group	Klitinopan	Air Handler	heatpump			25.8	41.1				5823
cdopico@isdom.com	3	Endgliban		Air Handler	air_conditioner	1.3							6199
cdopico@isdom.com	4	Trujubax Corp.	Enderomman	Air Handler	heatpump			20.8	33.9				6006
cdopico@scottech.com	1	Rapdudackower Holdings Group	Truwerpantor	Air Handler	heater		Electric						8525
cdopico@scottech.com	2	Unmunador Corp.		Air Handler	heater		Electric						10015
cdopico@scottech.com	3	Endcadan		Air Handler	heatpump			27.4	47.0				10065
cdubaldi@donquadtech.com	1	Thrutinepin Holdings Company		Air Handler	air_conditioner	10.7							16096
cduenas@newex.com	1	Varerax Holdings Corp.	Adnipantor	Air Handler	heater		Electric						16197
cduenas@ontomedia.com	1	Emzapar Holdings Corp.	Cipzapanover	Air Handler	heater,air_conditioner	3.2	Electric						9804
cduenas@ontomedia.com	2	Varnipantor Holdings		Air Handler	heater		Gas						6799
cduenas@ontomedia.com	3	Rapvenex Direct Corp.	Cipvenimower	Air Handler	heatpump			17.4	43.4				8699
cduenas@zotware.com	1	Unquestewan Direct	Upcadupistor	Air Handler	heatpump			18.1	24.6				12435
cehmann@opentech.com	1	Upnipexax International	Parpickedgar	Air Handler	heater		Gas						6001
cehmann@opentech.com	2	Suppickantor Holdings	Tupcadexantor	Air Handler	air_conditioner	7.6							5490
cehmann@opentech.com	3	Trupebistor Inc	Uptinantor	Air Handler	heatpump,air_conditioner	3.1		25.6	24.7				9390
cemigh@dalttechnology.com	1	Trusipplex International	Suphupax	Air Handler	heatpump,heater		Electric	24.7	28.6				6748
ceroman@plusstrip.com	1	Vartanover	Suptinupistor	Air Handler	air_conditioner,heater	4.6	Gas						9214
ceroman@plusstrip.com	2	Dopdimaquor Holdings Company	Froquestinover	Air Handler	heatpump			18.8	61.6				6256
ceroman@plusstrip.com	3	Ciptumicover Holdings	Frosapover	Air Handler	heater		Electric						5044
ceschberger@zumgoity.com	1	Haprobicator	Zeedudover	Air Handler	air_conditioner,heatpump	8.8		27.3	39.9				7916
cfarrow@cancity.com	1	Surzapar WorldWide	Endbanistor	Air Handler	heater		Electric						7729
cfarrow@cancity.com	2	Qwidimommazz Holdings Corp.	Truwerpexex	Water Heater						Electric	17.6	90	8227
cfarrow@cancity.com	3	Klifropedin International	Uppebopentor	Air Handler	air_conditioner,heatpump	2.7		18.5	24.9				12505
cfarrow@scottech.com	1	Endmunicator	Bardiminicator	Air Handler	heatpump			22.3	59.2				6685
cfarrow@scottech.com	2	Trujubicator Company		Air Handler	heater		Electric						7635
cfarrow@scottech.com	3	Zeebanaquar	Tupjubexentor	Air Handler	heatpump			24.1	26.5				7243
cferencz@golddex.com	1	Emglibistor WorldWide Group	Zeepebor	Air Handler	heater		Electric						11571
cferencz@golddex.com	2	Zeetanazz	Winerimazz	Air Handler	heater		Electric						9166
cferencz@golddex.com	3	Qwikilexin WorldWide	Klinipimax	Air Handler	heater		Electric						9828
cfishburne@betasoloin.com	1	Monwerexan International Corp.	Adtumommover	Air Handler	heater		Fuel Oil						10531
cflosi@stanredtax.com	1	Raperewex Holdings	Parkilommor	Air Handler	air_conditioner	8.9							12862
cfortino@mathtouch.com	1	Refropefex WorldWide Group	Mondimar	Air Handler	heatpump			24.5	58.2				12455
cfortino@mathtouch.com	2	Partinedin		Air Handler	heater		Electric						10723
cfortino@mathtouch.com	3	Upkilex Holdings	Rappickegentor	Air Handler	heater		Gas						10770
cfrancescon@donquadtech.com	1	Tupmunanover Holdings Group	Zeewerefin	Water Heater						Electric	47.9	194	9655
cfrankel@dambase.com	1	Bartinistor WorldWide	Qwisapan	Air Handler	heater		Electric						8672
cfrankel@dambase.com	2	Ciptumicover Holdings	Tipmunar	Air Handler	air_conditioner	5.2							7853
cfrankel@dambase.com	3	Varkilantor International	Dopbanepex	Air Handler	heater		Electric						6466
cfrankel@isdom.com	1	Parjuban Holdings	Frozapupax	Air Handler	heater		Electric						4273
cfrankel@isdom.com	2	Thrunipexentor	Vartinefan	Water Heater						Electric	65.6	104	4820
cfrankel@isdom.com	3	Qwierover	Monvenedan	Air Handler	heater,heatpump		Gas	18.8	25.7				6435
cfrankel@isdom.com	4	Endbanimex International Corp.	Frosipupin	Air Handler	heatpump,heater		Electric	20.9	36.2				6383
cfrankel@isdom.com	5	Partinazz	Klitinilower	Air Handler	heater,air_conditioner	1.4	Electric						7645
cfrankel@isdom.com	6	Upnipexax International	Hapzapantor	Air Handler	heatpump			24.4	66.7				3869
cfrerking@rantouch.com	1	Endrobover Corp.	Barerommicator	Air Handler	heatpump			31.2	45.3				2530
cfrerking@rantouch.com	2	Unquestistor WorldWide		Water Heater						Electric	69.8	154	2585
cfrerking@rantouch.com	3	Cipmunackex International	Trucadistor	Water Heater						Electric	17.2	146	3046
cfrerking@rantouch.com	4	Updudentor	Dopsapazz	Air Handler	heater		Gas						2187
cfrey@ron-tech.com	1	Tuperepan WorldWide	Tuptumicator	Air Handler	heatpump,heater		Electric	20.6	36.9				9496
cfrey@ron-tech.com	2	Dopsipegentor Direct	Winpebplicator	Air Handler	heatpump			19.2	36.2				4514
cfrey@ron-tech.com	3	Klirobentor	Surtumewover	Air Handler	heatpump,air_conditioner	3.1		22.0	37.7				9114
cfrey@ron-tech.com	4	Unglibamex	Surdimex	Water Heater						Electric	25.0	102	5788
cfrey@ron-tech.com	5	Supjubopistor Holdings Group	Updimentor	Air Handler	heater		Electric						5932
cfrey@ron-tech.com	6	Cipwerpeficator		Air Handler	air_conditioner	1.2							5563
cfrey@ron-tech.com	7	Uphupentor Holdings	Uptanonower	Air Handler	heater		Electric						6673
cfrey@zoomit.com	1	Grotanex International Inc	Monfropin	Air Handler	air_conditioner	14.5							16399
cgarufi@finjob.com	1	Sursipicator Group	Emrobimar	Air Handler	heatpump			25.7	44.5				5157
cgarufi@finjob.com	2	Dopdimaquor Holdings Company		Air Handler	heater,heatpump		Electric	14.1	46.9				8959
cgarufi@finjob.com	3	Parpebefex	Doppickicator	Air Handler	air_conditioner,heatpump	2.6		28.5	54.6				9052
cgehrett@betasoloin.com	1	Endbanimex International Corp.	Tipvenefan	Air Handler	air_conditioner,heater	0.8	Electric						2921
cgehrett@fasehatice.com	1	Emdimazz Group	Sursapower	Air Handler	air_conditioner	5.5							7251
cgehrett@fasehatice.com	2	Tupfropazz Holdings Corp.	Qwizapadover	Air Handler	heater		Gas						7046
cgehrett@fasehatice.com	3	Qwitanex WorldWide	Klipebupan	Water Heater						Electric	30.4	171	8360
cgehrett@isdom.com	1	Dopsipentor Direct Corp.	Raperaquistor	Air Handler	air_conditioner,heater	4.4	Electric						7904
cgehrett@isdom.com	2	Frojubaman Holdings		Air Handler	air_conditioner	1.3							6042
cgehrett@isdom.com	3	Zeenipentor	Suppickewin	Air Handler	heatpump			29.2	45.1				4719
cgehrett@isdom.com	4	Trujubicator Company	Endsipewantor	Air Handler	heatpump,heater		Gas	26.5	42.0				9676
cgellinger@stanredtax.com	1	Dopwerpin	Winvenan	Air Handler	heatpump			22.2	32.1				4725
cgellinger@stanredtax.com	2	Tupericover Holdings	Moneraquin	Water Heater						Gas	30.3	156	4549
cgellinger@stanredtax.com	3	Zeemuninower WorldWide	Unwerpegazz	Water Heater						Gas	19.4	96	5442
cgellinger@treequote.com	1	Adwerax	Tiperazz	Air Handler	heater		Electric						4098
cgellinger@treequote.com	2	Hapglibadantor		Air Handler	air_conditioner,heatpump	2.9		22.4	47.4				9037
cgellinger@treequote.com	3	Rehupadar Direct	Qwipickanentor	Water Heater						Electric	11.8	136	4249
cgellinger@treequote.com	4	Winglibower Company	Emquestadantor	Air Handler	air_conditioner	2.0							5051
cgellinger@zotware.com	1	Cipmunax	Intumilan	Water Heater						Gas	47.7	106	6229
cgillian@ontomedia.com	1	Truzapazz Direct	Hapwerackistor	Air Handler	air_conditioner	1.5							5607
cgillian@ontomedia.com	2	Haptanegax Holdings	Klikilar	Air Handler	heatpump			34.8	23.2				5307
cgillian@ontomedia.com	3	Lomtanar International	Frovenedentor	Water Heater						Gas	47.9	101	5077
cgillian@ontomedia.com	4	Unpebaquover Holdings	Parcadar	Air Handler	heater		Fuel Oil						4426
cgillian@ontomedia.com	5	Unglibamex	Thruzapazz	Air Handler	air_conditioner	2.1							5109
cgillian@ontomedia.com	6	Grovenexar Holdings Corp.	Trutumin	Air Handler	heatpump,air_conditioner	1.7		22.2	42.3				9704
cglick@rantouch.com	1	Surquestilistor Corp.	Wintanamower	Air Handler	heater		Electric						4963
cglick@rantouch.com	2	Emglibistor WorldWide Group	Klizapopicator	Air Handler	heater		Electric						4406
cglick@rantouch.com	3	Lomtanar International	Endrobilor	Air Handler	heatpump			23.2	23.6				3297
cglick@rantouch.com	4	Remunopin	Klijubor	Air Handler	heater,air_conditioner	3.2	Fuel Oil						6300
cglick@scotfind.com	1	Hapjubex Inc		Air Handler	air_conditioner,heater,heatpump	3.7	Fuel Oil	22.2	41.5				12749
cglick@scotfind.com	2	Hapzapedan Holdings Corp.		Air Handler	heatpump			32.8	39.6				6061
cglick@scotfind.com	3	Bartanefin International	Surmunedicator	Air Handler	air_conditioner	1.7							7601
cglick@scotfind.com	4	Varwerpazz Direct	Trubanommantor	Air Handler	heatpump			22.9	27.0				6726
cglick@scotfind.com	5	Supdimommor Direct Corp.	Lomdimin	Air Handler	heatpump			25.2	33.8				5591
cglick@scotfind.com	6	Klitumopicator	Upweraman	Water Heater						Gas	17.3	177	5734
cglick@scotfind.com	7	Grorobiman	Tuptumplan	Air Handler	air_conditioner	2.0							6983
cglick@scotfind.com	8	Parquestantor Holdings Group	Klifropicar	Air Handler	heatpump			19.7	35.0				6137
cglick@scotfind.com	9	Adwerax	Truhupedgex	Air Handler	heater		Gas						5393
cgobern@sunnamplex.com	1	Lomcadar Corp.	Upsipepazz	Air Handler	air_conditioner	12.7							13112
cgobern@sunnamplex.com	2	Endmunicator		Air Handler	heatpump			23.3	41.0				12604
cgobern@sunnamplex.com	3	Partanommower		Water Heater						Gas	56.1	135	10638
cgochal@konex.com	1	Endgliban	Trucadedistor	Air Handler	heatpump			23.2	34.9				4218
cgochal@konex.com	2	Supfropan Direct	Endnipepentor	Air Handler	air_conditioner,heatpump,heater	1.5	Electric	19.3	50.1				5729
cgochal@konex.com	3	Montanonor Direct Corp.	Lomwerackicator	Air Handler	heatpump,air_conditioner	2.1		26.3	45.4				6445
cgochal@konex.com	4	Grojubinentor Direct Group	Barkilommin	Water Heater						Electric	45.9		3261
cgochal@konex.com	5	Ciptumedgicator Inc	Grotinicator	Air Handler	air_conditioner	2.0							3208
cgochal@konex.com	6	Thrupebinan Holdings	Lomsipicin	Air Handler	heatpump,air_conditioner	3.5		26.2	40.6				6113
